name	region	
KEXV01034119|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034111|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034158|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034105|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034028|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034106|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034144|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01035683|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035652|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035617|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035674|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01033428|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01035936|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01034165|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01035925|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035926|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035707|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035839|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035646|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035621|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035603|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01033411|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01035636|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035609|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01033465|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
ON423286|BR|2018-01-15	Centro-Oeste-BR	
AF204039|Romania|1993-01-15	Europa	
AF204042|Romania|1993-01-15	Europa	
AF204041|Romania|1993-01-15	Europa	
AF075703|Finland|1993-01-15	Europa	
AF077336|Belgium|1993-01-15	Europa	
AF447853|Romania|1994-01-15	Europa	
AF447857|Romania|1994-01-15	Europa	
MT741441|Martinique|1996-01-15	Europa	
AJ249238|France|1996-01-15	Europa	
AF204045|Romania|1996-01-15	Europa	
AB485658|Romania|1996-01-15	Europa	
AF204044|Romania|1996-01-15	Europa	
AF204043|Romania|1996-01-15	Europa	
EF517435|Bulgaria|1997-01-15	Europa	
AF204052|Romania|1997-01-15	Europa	
AF204046|Romania|1997-01-15	Europa	
AF204047|Romania|1997-01-15	Europa	
AF204048|Romania|1997-01-15	Europa	
AF204050|Romania|1997-01-15	Europa	
AF204049|Romania|1997-01-15	Europa	
AF204051|Romania|1997-01-15	Europa	
AF204040|Romania|1997-01-15	Europa	
AF295281|Italy|1997-01-15	Europa	
AF252045|Italy|Milan|1997-01-15	Europa	
AF252092|Italy|Milan|1997-01-15	Europa	
EF517438|Bulgaria|1998-01-15	Europa	
AF295283|Italy|1998-01-15	Europa	
AF295282|Italy|1998-01-15	Europa	
FJ030690|Italy|1998-01-15	Europa	
AF295299|Italy|1998-01-15	Europa	
AJ287042|France|1999-01-15	Europa	
AJ577733|France|1999-01-15	Europa	
AY694235|Czechia|2000-01-15	Europa	
AY377435|Italy|2000-01-15	Europa	
AY359521|Italy|2000-01-15	Europa	
AY366536|Italy|2000-01-15	Europa	
AY359518|Italy|2000-01-15	Europa	
AY694320|Czechia|2001-01-15	Europa	
AJ577734|France|2001-01-15	Europa	
MH072415|Germany|2002-01-15	Europa	
FJ670516|Spain|2002-01-15	Europa	
AJ971100|Slovenia|2002-01-15	Europa	
JQ280924|Romania|2002-01-15	Europa	
JQ280922|Romania|2002-01-15	Europa	
